id;Borough;ZIP.CODE;LATITUDE;LONGITUDE;LOCATION;ON.STREET.NAME;CROSS.STREET.NAME;OFF.STREET.NAME;Persons injured;Persons killed;Pedestrians injured;Pedestrians killed;Cyclist injured;Cyclist killed;Motorist injured;Motorist killed;CONTRIBUTING.FACTOR.VEHICLE.1;CONTRIBUTING.FACTOR.VEHICLE.2;CONTRIBUTING.FACTOR.VEHICLE.3;CONTRIBUTING.FACTOR.VEHICLE.4;CONTRIBUTING.FACTOR.VEHICLE.5;UNIQUE.KEY;Vehicle type1;Vehicle type2;Vehicle type3;Vehicle type4;Vehicle type5;datetime;location2;Number accidents
7262;QUEENS;11372;40.7541222;-73.8813163;(40.7541222, -73.8813163);34th avenue;86th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3466337;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-21 14:45:00;40.7541222 -73.8813163;1
2698;QUEENS;11103;40.7651741;-73.913938;(40.7651741, -73.913938);;;28-65 STEINWAY STREET                   ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3471042;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-28 21:40:00;40.7651741 -73.913938;1
16623;QUEENS;11106;40.7671957;-73.93758509999999;(40.7671957, -73.9375851);;;32-50 VERNON BLVD                       ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3457393;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-06 17:00:00;40.7671957 -73.9375851;1
12599;BROOKLYN;11203;40.65527470000001;-73.931772;(40.6552747, -73.931772);east 49th street;lenox road;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3484571;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-13 08:34:00;40.6552747 -73.931772;1
7434;BROOKLYN;11212;40.672280799999996;-73.91088549999999;(40.6722808, -73.9108855);;;1539 EAST NEW YORK AVENUE               ;1;0;0;0;0;0;1;0;Unspecified;Unspecified;;;;3472276;MOTORCYCLE;PASSENGER VEHICLE;;;;2016-06-21 17:59:00;40.6722808 -73.9108855;1
13247;BROOKLYN;11216;40.6898825;-73.95121929999999;(40.6898825, -73.9512193);;;588 LAFAYETTE AVENUE                    ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3461452;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-11 13:50:00;40.6898825 -73.9512193;1
7827;QUEENS;11369;40.758404299999995;-73.87898759999999;(40.7584043, -73.8789876);;;89-19 32 AVENUE                         ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3465433;PASSENGER VEHICLE;OTHER;;;;2016-06-20 11:50:00;40.7584043 -73.8789876;1
19302;QUEENS;11435;40.70420120000001;-73.8152441;(40.7042012, -73.8152441);hillside avenue;queens boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3454746;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-02 22:00:00;40.7042012 -73.8152441;1
16975;BROOKLYN;11212;40.6569174;-73.91328840000001;(40.6569174, -73.9132884);;;2323 STRAUSS STREET                     ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3456215;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-06 09:15:00;40.6569174 -73.9132884;1
15111;MANHATTAN;10038;40.711406200000006;-74.0055729;(40.7114062, -74.0055729);;;8 SPRUCE STREET                         ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3460063;;;;;;2016-06-08 15:05:00;40.7114062 -74.0055729;1
15970;MANHATTAN;10023;40.7775329;-73.9749962;(40.7775329, -73.9749962);central park west;west 74th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3457556;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-07 18:30:00;40.7775329 -73.9749962;1
3402;QUEENS;11358;40.7646953;-73.79395799999999;(40.7646953, -73.793958);172nd street;35th avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3470093;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-27 21:45:00;40.7646953 -73.793958;1
4935;MANHATTAN;10007;40.7155203;-74.00923829999999;(40.7155203, -74.0092383);chambers street;west broadway;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3468487;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-24 11:10:00;40.7155203 -74.0092383;1
6341;MANHATTAN;10026;40.8057259;-73.9544143;(40.8057259, -73.9544143);8th avenue;west 118th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3468680;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-22 10:15:00;40.8057259 -73.9544143;1
17408;QUEENS;11373;40.7334973;-73.8703694;(40.7334973, -73.8703694);woodhaven boulevard;queens boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3456575;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-05 02:45:00;40.7334973 -73.8703694;1
9173;STATEN ISLAND;10304;40.608725799999995;-74.0883777;(40.6087258, -74.0883777);narrows road north;targee street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464863;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-18 13:45:00;40.6087258 -74.0883777;1
6756;BRONX;10466;40.8922526;-73.8613974;(40.8922526, -73.8613974);carpenter avenue;east 230th street;                                        ;2;0;0;0;0;0;2;0;Unspecified;Unspecified;Unspecified;;;3470529;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;;2016-06-22 18:30:00;40.8922526 -73.8613974;1
6813;QUEENS;11377;40.7350859;-73.896913;(40.7350859, -73.896913);maurice avenue;68th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3466990;PASSENGER VEHICLE;BICYCLE;;;;2016-06-22 01:00:00;40.7350859 -73.896913;1
8071;BROOKLYN;11203;40.6416581;-73.93703959999999;(40.6416581, -73.9370396);east 42nd street;avenue d;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3470643;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-20 17:00:00;40.6416581 -73.9370396;1
18038;STATEN ISLAND;10304;40.5948814;-74.0980671;(40.5948814, -74.0980671);richmond road;sophia lane;                                        ;1;0;0;0;0;0;1;0;Unspecified;Unspecified;;;;3455223;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-04 04:46:00;40.5948814 -74.0980671;1
18054;BROOKLYN;11207;40.675735700000004;-73.89685329999999;(40.6757357, -73.8968533);pennsylvania avenue;atlantic avenue;                                        ;2;0;0;0;0;0;2;0;Unspecified;Unspecified;Unspecified;Unspecified;;3456235;OTHER;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;2016-06-04 06:10:00;40.6757357 -73.8968533;1
7846;BRONX;10460;40.83928;-73.8865998;(40.83928, -73.8865998);east 175th street;southern boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3473063;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-20 12:30:00;40.83928 -73.8865998;1
9394;BRONX;10473;40.8259548;-73.8595554;(40.8259548, -73.8595554);bruckner expressway;white plains road;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464221;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-18 18:30:00;40.8259548 -73.8595554;1
4996;MANHATTAN;10012;40.724432799999995;-73.9934591;(40.7244328, -73.9934591);east houston street;elizabeth street;                                        ;1;0;0;0;0;0;1;0;Unspecified;Unspecified;;;;3469491;SMALL COM VEH(4 TIRES) ;PASSENGER VEHICLE;;;;2016-06-24 12:40:00;40.7244328 -73.9934591;1
