id,lat1,lon1,lat2,lon2,street,speed,signed,region,distance,location
18699,40.526269548700796,-74.17444337726,40.5259868531109,-74.17514861121941,lynch street,25,no,Staten Island,0.0419435054720398,40.5262695487008 -74.17444337726
11241,40.7606662072797,-73.9433049831384,40.760359321725396,-73.9424458886668,37 avenue,25,no,Queens,0.0498013112090722,40.7606662072797 -73.9433049831384
12106,40.718214457431294,-73.8937593243333,40.7175829031285,-73.8933222816979,67 street,25,no,Queens,0.0492503170828249,40.7182144574313 -73.8937593243333
3261,40.600094954818395,-74.005345004968,40.5996204743055,-74.0046042639756,20 drive,25,no,Brooklyn,0.0508886154954682,40.6000949548184 -74.005345004968
5473,40.6791244696186,-74.00554371916729,40.6786544443472,-74.0038355549668,luquer street,25,no,Brooklyn,0.095414671870425,40.6791244696186 -74.0055437191673
11731,40.748826585778396,-73.9069332528673,40.748366588847,-73.90713329356659,56 street,20,yes,Queens,0.0334319017820995,40.7488265857784 -73.9069332528673
15780,40.7342895737049,-73.75344775431041,40.73346159487679,-73.7516483637809,peck avenue,25,no,Queens,0.110383703147564,40.7342895737049 -73.7534477543104
9683,40.794516550598395,-73.80412746900741,40.793504834880295,-73.80426970488291,157 street,25,no,Queens,0.07020900024246,40.7945165505984 -73.8041274690074
4020,40.6808884781208,-73.98371283657809,40.6799966842996,-73.9814147647795,butler street,25,no,Brooklyn,0.13549852952739802,40.6808884781208 -73.9837128365781
3395,40.646510738180105,-74.02320688888679,40.645181574370206,-74.0210041883926,57 street,25,no,Brooklyn,0.147695930507713,40.6465107381801 -74.0232068888868
15099,40.64460643364,-73.7942261760971,40.6446092134445,-73.7941294252328,jfk terminal access ramp,25,no,Queens,0.00508872381561073,40.64460643364 -73.7942261760971
17292,40.6140190753201,-74.0895848319744,40.6137705971354,-74.08874574831759,cedar terrace,25,no,Staten Island,0.0473357636323835,40.6140190753201 -74.0895848319744
7727,40.8031147618369,-73.9582502217703,40.8039025472648,-73.9582044471775,morningside avenue,25,no,Manhattan,0.0544127867564302,40.8031147618369 -73.9582502217703
20048,40.5287099130321,-74.2029128591411,40.52840601232771,-74.2040102280895,uncas avenue,25,no,Staten Island,0.0614639295051678,40.5287099130321 -74.2029128591411
8585,40.6907852087704,-73.83925835339029,40.6902327228619,-73.8389867923066,106 street,25,no,Queens,0.0407034775769308,40.6907852087704 -73.8392583533903
6771,40.7994149212616,-73.9552244032835,40.8000088362389,-73.95478309156641,adam clayton powell jr boulevard,25,yes,Manhattan,0.0470642416038268,40.7994149212616 -73.9552244032835
18929,40.5624135742271,-74.1309489309484,40.5623223236164,-74.1309092672488,north railroad avenue,25,no,Staten Island,0.00663327591422092,40.5624135742271 -74.1309489309484
13053,40.694606494694,-73.848654390088,40.69222589391,-73.84748756200129,97 street,25,no,Queens,0.175325301635913,40.694606494694 -73.848654390088
15898,40.7952460110001,-73.8474689129999,40.795143241999995,-73.8464148159999,riviera court,25,no,Queens,0.0557305629551674,40.7952460110001 -73.8474689129999
380,40.860487342000106,-73.80297126800001,40.860585287,-73.80292300100001,city island road,25,no,Bronx,0.0072161478931245205,40.8604873420001 -73.802971268
2601,40.8222415539046,-73.8875221922953,40.8223486937373,-73.8874194141746,sheridan expressway,50,yes,Bronx,0.00914781397822418,40.8222415539046 -73.8875221922953
1057,40.8337017433408,-73.9138454331202,40.8334173453343,-73.91300222966909,east 168 street,25,no,Bronx,0.0483540623119263,40.8337017433408 -73.9138454331202
15880,40.799225203,-73.8210166219999,40.7995625460001,-73.821237831,samos lane,25,no,Queens,0.0260078070326035,40.799225203 -73.8210166219999
3798,40.588916124579605,-73.9929774859222,40.587337854858205,-73.9961645033891,bay 43 street,25,no,Brooklyn,0.19991320254785,40.5889161245796 -73.9929774859222
18669,40.577718068634,-74.117572361775,40.577696207913704,-74.11748531909221,locust avenue,25,no,Staten Island,0.00482145082646445,40.577718068634 -74.117572361775
9495,40.6569600365765,-73.7687029829563,40.6570609351141,-73.7674588626364,150 avenue,25,no,Queens,0.0657472470535187,40.6569600365765 -73.7687029829563
15908,40.7331275820001,-73.73332030599991,40.730993789,-73.73412941899991,range street,25,no,Queens,0.15323997631393302,40.7331275820001 -73.7333203059999
11484,40.735494771,-73.867192898,40.735997598000004,-73.86550202099991,58 avenue,25,no,Queens,0.0952909074804653,40.735494771 -73.867192898
14401,40.7478299858652,-73.7365030268932,40.7479278932577,-73.7364300666942,douglaston parkway,25,no,Queens,0.007765396263494509,40.7478299858652 -73.7365030268932
12526,40.7533095901655,-73.8887502399316,40.751404709160106,-73.888401971174,78 street,20,yes,Queens,0.132706357150523,40.7533095901655 -73.8887502399316
11498,40.753170025,-73.76295287499991,40.753847889,-73.76048760899991,53 avenue,25,no,Queens,0.13755772165736901,40.753170025 -73.7629528749999
14729,40.766650992249495,-73.890667555863,40.766711916821606,-73.8902379317351,grand central parkway sr north,25,no,Queens,0.0229281163631721,40.7666509922495 -73.890667555863
16833,40.512461241992796,-74.2501500113139,40.5118866255673,-74.25114989734979,arthur kill road,25,no,Staten Island,0.0659145628029136,40.5124612419928 -74.2501500113139
1984,40.841809417,-73.7879468949999,40.8425117520001,-73.784720399,pell place,25,no,Bronx,0.17588886181434402,40.841809417 -73.7879468949999
19955,40.598061386,-74.1012656549999,40.5981738850001,-74.101433066,wooddale avenue,25,no,Staten Island,0.0117382210412702,40.598061386 -74.1012656549999
15999,40.6606205830735,-73.80359742478129,40.6606184903511,-73.8035766189657,rental car north,25,no,Queens,0.0011027621461832699,40.6606205830735 -73.8035974247813
19460,40.601100312,-74.10629884,40.60094416,-74.106231827,shady road,25,no,Staten Island,0.0113364076953627,40.601100312 -74.10629884
28,40.908358793000005,-73.853806087,40.908044227000104,-73.853051119,abbot street,25,no,Bronx,0.0450921756828903,40.908358793 -73.853806087
20220,40.62114577176,-74.1337587088972,40.6203039011042,-74.1337045148514,willard avenue,25,no,Staten Island,0.0581598830280817,40.62114577176 -74.1337587088972
9769,40.7217164345658,-73.8036185399636,40.720723075809396,-73.8031882386463,164 place,25,no,Queens,0.0721707347046352,40.7217164345658 -73.8036185399636
8508,40.7536717048853,-73.94756641885509,40.7536218986318,-73.9476078802994,10 street,25,no,Queens,0.00406751342618433,40.7536717048853 -73.9475664188551
11851,40.6968073740611,-73.89677391208642,40.696102540300004,-73.8963101101235,60 street,25,no,Queens,0.0543937258641389,40.6968073740611 -73.8967739120864
19303,40.6341076707325,-74.09935357830491,40.63354895791821,-74.0992543057416,randall avenue,25,no,Staten Island,0.0389035039086198,40.6341076707325 -74.0993535783049
6825,40.81720584,-73.936365892,40.81780129,-73.93596170800001,chisum place,25,no,Manhattan,0.0462297653820086,40.81720584 -73.936365892
4574,40.6622249286376,-73.9304641508998,40.6606647613697,-73.93032126301591,east 51 street,25,no,Brooklyn,0.10791559687985801,40.6622249286376 -73.9304641508998
11277,40.7787873027918,-73.9001685452421,40.7769728621079,-73.9023878139464,38 street,25,no,Queens,0.17095860655884101,40.7787873027918 -73.9001685452421
17156,40.6341376890001,-74.159282272,40.6339556180001,-74.1592853019999,bush avenue,25,no,Staten Island,0.0125641467956592,40.6341376890001 -74.159282272
2636,40.8138128450868,-73.891117429126,40.8137792149388,-73.89097940387641,spofford avenue,25,no,Bronx,0.007599089061116991,40.8138128450868 -73.891117429126
6468,40.5968017723839,-73.9749283874351,40.5966594888444,-73.9746787770039,village road north,25,no,Brooklyn,0.0163935394937389,40.5968017723839 -73.9749283874351
9488,40.786598775413204,-73.8177267696746,40.7864845030574,-73.8162701413539,15 road,25,no,Queens,0.076802330084795,40.7865987754132 -73.8177267696746
5271,40.6824292398176,-73.957536032362,40.68260759066779,-73.9559674753187,jefferson avenue,25,no,Brooklyn,0.0833090748701059,40.6824292398176 -73.957536032362
10824,40.7690510190001,-73.84134443100001,40.769101117,-73.841359852,31 avenue,25,no,Queens,0.0035503099397065797,40.7690510190001 -73.841344431
14617,40.605180116999996,-73.75905011899991,40.6055289490001,-73.760875662,healy avenue,25,no,Queens,0.0989761911344191,40.605180117 -73.7590501189999
793,40.8363531138052,-73.8765524067681,40.8363208937943,-73.87656866291341,cross bronx expressway sr south,25,no,Bronx,0.00238094360400246,40.8363531138052 -73.8765524067681
2718,40.8781627990001,-73.84004096099991,40.878420786999996,-73.83922247299991,tillotson avenue,25,no,Bronx,0.0464179768238868,40.8781627990001 -73.8400409609999
16106,40.7076393546725,-73.915840935211,40.7072002822673,-73.91510335443621,seneca avenue,25,yes,Queens,0.049172433690144,40.7076393546725 -73.915840935211
14733,40.750989133341896,-73.7280354179002,40.7515035770285,-73.727586222726,grand central parkway sr north,25,no,Queens,0.0426113847456175,40.7509891333419 -73.7280354179002
10360,40.6795208030001,-73.75252072599991,40.679119804,-73.752772979,217 street,25,no,Queens,0.030679104663912,40.6795208030001 -73.7525207259999
9478,40.6731664502715,-73.7890188478415,40.6714569226989,-73.7894211622568,149 street,25,no,Queens,0.119839110981905,40.6731664502715 -73.7890188478415
8542,40.6988334701886,-73.84700544984159,40.6981674826433,-73.8467123059281,102 street,25,no,Queens,0.0484646553900942,40.6988334701886 -73.8470054498416
4662,40.6415414080001,-73.88800222100001,40.64291683,-73.885873397,flatlands 6 street,25,no,Brooklyn,0.146721348918048,40.6415414080001 -73.888002221
8621,40.6973001728647,-73.7846221693776,40.6973372932815,-73.78455514200621,109 avenue,25,no,Queens,0.00435336973314179,40.6973001728647 -73.7846221693776
13619,40.732582055217705,-73.75437708133721,40.73085096100311,-73.75355752196201,bell boulevard,25,no,Queens,0.126960231117903,40.7325820552177 -73.7543770813372
2099,40.8471967577243,-73.92133998285391,40.847272075945604,-73.9212788919073,montgomery avenue,25,no,Bronx,0.0061039871247876,40.8471967577243 -73.9213399828539
7858,40.814796406,-73.93613697599991,40.814879499,-73.936702075,west 138 street,25,no,Manhattan,0.0301751834565376,40.814796406 -73.9361369759999
16963,40.550261290826,-74.2213171349778,40.5510567609608,-74.22168290544171,bloomingdale road,25,no,Staten Island,0.0581659381137426,40.550261290826 -74.2213171349778
2585,40.842168168826,-73.9276303637503,40.8422560847505,-73.927566989425,sedgwick avenue,25,yes,Bronx,0.00691607499438806,40.842168168826 -73.9276303637503
15687,40.744741764000004,-73.933589758,40.7446265390001,-73.9326363059999,queens boulevard,25,no,Queens,0.0506652810062306,40.744741764 -73.933589758
